expected_return,volatility,ALPHA,BETA,GAMMA,DELTA
0.000890,0.002456,0.20,0.60,0.00,0.20
0.000885,0.002340,0.20,0.60,0.10,0.10
0.000880,0.002351,0.20,0.60,0.20,0.00
0.000890,0.002454,0.20,0.70,0.00,0.10
0.000885,0.002355,0.20,0.70,0.10,0.00
0.000891,0.002456,0.20,0.80,0.00,0.00
0.000957,0.002888,0.30,0.00,0.00,0.70
0.000952,0.002670,0.30,0.00,0.10,0.60
0.000947,0.002554,0.30,0.00,0.20,0.50
0.000942,0.002555,0.30,0.00,0.30,0.40
0.000937,0.002673,0.30,0.00,0.40,0.30
0.000932,0.002893,0.30,0.00,0.50,0.20
0.000927,0.003194,0.30,0.00,0.60,0.10
0.000922,0.003555,0.30,0.00,0.70,0.00
0.000958,0.002862,0.30,0.10,0.00,0.60
0.000953,0.002657,0.30,0.10,0.10,0.50
0.000948,0.002557,0.30,0.10,0.20,0.40
0.000943,0.002574,0.30,0.10,0.30,0.30
0.000938,0.002706,0.30,0.10,0.40,0.20
0.000933,0.002938,0.30,0.10,0.50,0.10
0.000928,0.003247,0.30,0.10,0.60,0.00
0.000958,0.002839,0.30,0.20,0.00,0.50
0.000953,0.002648,0.30,0.20,0.10,0.40
0.000948,0.002564,0.30,0.20,0.20,0.30
0.000943,0.002597,0.30,0.20,0.30,0.20
0.000938,0.002743,0.30,0.20,0.40,0.10
0.000933,0.002985,0.30,0.20,0.50,0.00
0.000958,0.002820,0.30,0.30,0.00,0.40
0.000953,0.002643,0.30,0.30,0.10,0.30
0.000948,0.002574,0.30,0.30,0.20,0.20
0.000943,0.002623,0.30,0.30,0.30,0.10
0.000938,0.002783,0.30,0.30,0.40,0.00
0.000959,0.002803,0.30,0.40,0.00,0.30
0.000954,0.002641,0.30,0.40,0.10,0.20
0.000949,0.002589,0.30,0.40,0.20,0.10
0.000944,0.002653,0.30,0.40,0.30,0.00
0.000959,0.002791,0.30,0.50,0.00,0.20
0.000954,0.002643,0.30,0.50,0.10,0.10
0.000949,0.002607,0.30,0.50,0.20,0.00
0.000959,0.002782,0.30,0.60,0.00,0.10
0.000954,0.002649,0.30,0.60,0.10,0.00
0.000960,0.002776,0.30,0.70,0.00,0.00
0.001027,0.003245,0.40,0.00,0.00,0.60
0.001022,0.003026,0.40,0.00,0.10,0.50
0.001017,0.002897,0.40,0.00,0.20,0.40
0.001012,0.002870,0.40,0.00,0.30,0.30
0.001007,0.002948,0.40,0.00,0.40,0.20
0.001002,0.003124,0.40,0.00,0.50,0.10
0.000997,0.003381,0.40,0.00,0.60,0.00
0.001027,0.003218,0.40,0.10,0.00,0.50
0.001022,0.003011,0.40,0.10,0.10,0.40
0.001017,0.002896,0.40,0.10,0.20,0.30
0.001012,0.002883,0.40,0.10,0.30,0.20
0.001007,0.002975,0.40,0.10,0.40,0.10
0.001002,0.003162,0.40,0.10,0.50,0.00
0.001027,0.003195,0.40,0.20,0.00,0.40
0.001022,0.003000,0.40,0.20,0.10,0.30
0.001017,0.002898,0.40,0.20,0.20,0.20
0.001012,0.002900,0.40,0.20,0.30,0.10
0.001007,0.003005,0.40,0.20,0.40,0.00
0.001028,0.003174,0.40,0.30,0.00,0.30
0.001023,0.002991,0.40,0.30,0.10,0.20
0.001018,0.002904,0.40,0.30,0.20,0.10
0.001013,0.002920,0.40,0.30,0.30,0.00
0.001028,0.003156,0.40,0.40,0.00,0.20
0.001023,0.002986,0.40,0.40,0.10,0.10
0.001018,0.002913,0.40,0.40,0.20,0.00
0.001028,0.003142,0.40,0.50,0.00,0.10
0.001023,0.002985,0.40,0.50,0.10,0.00
0.001029,0.003130,0.40,0.60,0.00,0.00
0.001096,0.003615,0.50,0.00,0.00,0.50
0.001091,0.003397,0.50,0.00,0.10,0.40
0.001086,0.003258,0.50,0.00,0.20,0.30
0.001081,0.003210,0.50,0.00,0.30,0.20
0.001076,0.003256,0.50,0.00,0.40,0.10
0.001071,0.003392,0.50,0.00,0.50,0.00
0.001096,0.003589,0.50,0.10,0.00,0.40
0.001091,0.003381,0.50,0.10,0.10,0.30
0.001086,0.003254,0.50,0.10,0.20,0.20
0.001081,0.003218,0.50,0.10,0.30,0.10
0.001076,0.003277,0.50,0.10,0.40,0.00
0.001097,0.003564,0.50,0.20,0.00,0.30
0.001092,0.003367,0.50,0.20,0.10,0.20
0.001087,0.003253,0.50,0.20,0.20,0.10
0.001082,0.003230,0.50,0.20,0.30,0.00
0.001097,0.003543,0.50,0.30,0.00,0.20
0.001092,0.003357,0.50,0.30,0.10,0.10
0.001087,0.003255,0.50,0.30,0.20,0.00
0.001097,0.003524,0.50,0.40,0.00,0.10
0.001092,0.003350,0.50,0.40,0.10,0.00
0.001098,0.003508,0.50,0.50,0.00,0.00
0.001165,0.003996,0.60,0.00,0.00,0.40
0.001160,0.003779,0.60,0.00,0.10,0.30
0.001155,0.003633,0.60,0.00,0.20,0.20
0.001150,0.003567,0.60,0.00,0.30,0.10
0.001145,0.003586,0.60,0.00,0.40,0.00
0.001166,0.003969,0.60,0.10,0.00,0.30
0.001161,0.003761,0.60,0.10,0.10,0.20
0.001156,0.003626,0.60,0.10,0.20,0.10
0.001151,0.003572,0.60,0.10,0.30,0.00
0.001166,0.003945,0.60,0.20,0.00,0.20
0.001161,0.003747,0.60,0.20,0.10,0.10
0.001156,0.003622,0.60,0.20,0.20,0.00
0.001166,0.003923,0.60,0.30,0.00,0.10
0.001161,0.003735,0.60,0.30,0.10,0.00
0.001167,0.003903,0.60,0.40,0.00,0.00
0.001235,0.004385,0.70,0.00,0.00,0.30
0.001230,0.004168,0.70,0.00,0.10,0.20
0.001225,0.004017,0.70,0.00,0.20,0.10
0.001220,0.003938,0.70,0.00,0.30,0.00
0.001235,0.004358,0.70,0.10,0.00,0.20
0.001230,0.004150,0.70,0.10,0.10,0.10
0.001225,0.004008,0.70,0.10,0.20,0.00
0.001235,0.004333,0.70,0.20,0.00,0.10
0.001230,0.004134,0.70,0.20,0.10,0.00
0.001236,0.004311,0.70,0.30,0.00,0.00
0.001304,0.004779,0.80,0.00,0.00,0.20
0.001299,0.004564,0.80,0.00,0.10,0.10
0.001294,0.004408,0.80,0.00,0.20,0.00
0.001304,0.004752,0.80,0.10,0.00,0.10
0.001299,0.004545,0.80,0.10,0.10,0.00
0.001305,0.004728,0.80,0.20,0.00,0.00
0.001373,0.005178,0.90,0.00,0.00,0.10
0.001368,0.004964,0.90,0.00,0.10,0.00
0.001374,0.005151,0.90,0.10,0.00,0.00
0.001443,0.005580,1.00,0.00,0.00,0.00
